sample,stage,study,donor,age,age_bin
85-MII_S25_R1_001_kallisto,MI,Zenodo_Kallisto,85-MII_S25_R1_001_kallisto,unknown,unknown
52MI_S11_R1_001_kallisto,MI,Zenodo_Kallisto,52MI_S11_R1_001_kallisto,unknown,unknown
15MI_S3_R1_001_kallisto,MI,Zenodo_Kallisto,15MI_S3_R1_001_kallisto,unknown,unknown
7-MII_S2_kallisto,MI,Zenodo_Kallisto,7-MII_S2_kallisto,unknown,unknown
37VG_S6_R1_001_kallisto,GV,Zenodo_Kallisto,37VG_S6_R1_001_kallisto,unknown,unknown
50VG_S10_R1_001_kallisto,GV,Zenodo_Kallisto,50VG_S10_R1_001_kallisto,unknown,unknown
45MI_S8_R1_001_kallisto,MI,Zenodo_Kallisto,45MI_S8_R1_001_kallisto,unknown,unknown
13-MII_S20_R1_001_kallisto,MI,Zenodo_Kallisto,13-MII_S20_R1_001_kallisto,unknown,unknown
9-MII_S3_kallisto,MI,Zenodo_Kallisto,9-MII_S3_kallisto,unknown,unknown
38VG_S7_R1_001_kallisto,GV,Zenodo_Kallisto,38VG_S7_R1_001_kallisto,unknown,unknown
47MI_S9_R1_001_kallisto,MI,Zenodo_Kallisto,47MI_S9_R1_001_kallisto,unknown,unknown
36MI_S5_R1_001_kallisto,MI,Zenodo_Kallisto,36MI_S5_R1_001_kallisto,unknown,unknown
53MII_S12_R1_001_kallisto,MI,Zenodo_Kallisto,53MII_S12_R1_001_kallisto,unknown,unknown
48-MI_S16_R1_001_kallisto,MI,Zenodo_Kallisto,48-MI_S16_R1_001_kallisto,unknown,unknown
55-VG_S13_R1_001_kallisto,GV,Zenodo_Kallisto,55-VG_S13_R1_001_kallisto,unknown,unknown
17-MII_S24_R1_001_kallisto,MI,Zenodo_Kallisto,17-MII_S24_R1_001_kallisto,unknown,unknown
12MII_S2_R1_001_kallisto,MI,Zenodo_Kallisto,12MII_S2_R1_001_kallisto,unknown,unknown
54VG_S13_R1_001_kallisto,GV,Zenodo_Kallisto,54VG_S13_R1_001_kallisto,unknown,unknown
16MII_S4_R1_001_kallisto,MI,Zenodo_Kallisto,16MII_S4_R1_001_kallisto,unknown,unknown
11VG_S1_R1_001_kallisto,GV,Zenodo_Kallisto,11VG_S1_R1_001_kallisto,unknown,unknown
